,topic_name,description,FAQ
0,Fertility 101,Understanding how your body works is essential. Don't worry - Our experts will teach you everything you need to know.,"{'1': {'question_text': ""How can I effectively track my menstrual cycle to better understand my body's signals?"", 'category': 'non_medical'}, '2': {'question_text': 'What are the different phases of the menstrual cycle, and what hormonal changes characterize each phase?', 'category': 'medical'}, '3': {'question_text': ""I'm experiencing irregular periods; what could be causing this, and when should I be concerned?"", 'category': 'medical'}, '4': {'question_text': 'What are some lifestyle changes I can make to support my reproductive health and improve my chances of conceiving?', 'category': 'non_medical'}, '5': {'question_text': ""I'm trying to get pregnant. What tests should I get to assess my fertility?"", 'category': 'medical'}, '6': {'question_text': 'Are there any financial assistance programs available to help with the cost of fertility treatments or gynecological care?', 'category': 'non_medical'}, '7': {'question_text': 'What are the potential long-term health consequences of having an irregular menstrual cycle, and how can I mitigate those risks?', 'category': 'medical'}, '8': {'question_text': ""I'm feeling overwhelmed by infertility. What kind of support groups or counseling resources are available to help me cope?"", 'category': 'lived_in'}, '9': {'question_text': ""I'm worried about the impact of alcohol and smoking on my fertility. What are the risks, and how much is too much?"", 'category': 'medical'}, '10': {'question_text': 'Can you explain what happens during ovulation and the different phases of my menstrual cycle?', 'category': 'medical'}, '11': {'question_text': ""What are some common misconceptions about menstruation and women's health that need to be clarified?"", 'category': 'non_medical'}, '12': {'question_text': ""I've heard about ectopic pregnancies. What are the symptoms, and how do I know if I'm at risk?"", 'category': 'medical'}, '13': {'question_text': ""I'm struggling with painful periods. Are there any natural ways to manage the pain and discomfort?"", 'category': 'lived_in'}, '14': {'question_text': 'What are some common issues that may arise in the female reproductive system, and what are the preventative measures I should take?', 'category': 'medical'}, '15': {'question_text': ""I'm concerned about the long-term effects of hormonal therapies for PMS. What are those?"", 'category': 'medical'}, '16': {'question_text': 'What are some things I should be aware of regarding changes in my body throughout my life (puberty, pregnancy, menopause)?', 'category': 'medical'}, '17': {'question_text': ""What are some trusted sources of information on women's health and gynecology?"", 'category': 'non_medical'}, '18': {'question_text': 'My doctor mentioned AMH. What is AMH, and how does it affect my chances of getting pregnant?', 'category': 'medical'}}"
1,Egg Freezing,"Navigating the egg-freezing journey can seem daunting at first. Here, we break it down so you completely understand the process, the medications, the costs, and the patient experience.","{'1': {'question_text': 'What is egg freezing and why might someone consider it?', 'category': 'medical'}, '2': {'question_text': 'How does age affect the success rate of egg freezing?', 'category': 'medical'}, '3': {'question_text': 'What does the egg freezing process involve, from initial consultation to egg retrieval?', 'category': 'medical'}, '4': {'question_text': 'What medications are involved in egg freezing, and what are their potential side effects?', 'category': 'medical'}, '5': {'question_text': 'What are the costs associated with egg freezing, including medication, procedures, and storage?', 'category': 'non_medical'}, '6': {'question_text': 'How long can eggs be stored frozen?', 'category': 'medical'}, '7': {'question_text': 'What is the process of using frozen eggs to try and conceive?', 'category': 'medical'}, '8': {'question_text': 'What are the success rates of IVF using frozen eggs?', 'category': 'medical'}, '9': {'question_text': 'Are there any risks associated with egg freezing, either short-term or long-term?', 'category': 'medical'}, '10': {'question_text': 'How does egg freezing compare to other fertility preservation options, such as embryo freezing?', 'category': 'medical'}, '11': {'question_text': 'What factors should I consider when choosing a fertility clinic for egg freezing?', 'category': 'non_medical'}, '12': {'question_text': 'If I have a chronic illness, how might that affect my egg freezing journey?', 'category': 'medical'}, '13': {'question_text': 'How does chemotherapy or radiation treatment impact my ability to freeze my eggs, and what are the timelines involved?', 'category': 'medical'}, '14': {'question_text': ""I'm worried about my ovarian reserve. How is it assessed before egg freezing, and what does a low ovarian reserve mean for my chances of success?"", 'category': 'medical'}, '15': {'question_text': ""I'm a cancer survivor and my treatment has affected my fertility. What was your experience with egg freezing?"", 'category': 'lived_in'}, '16': {'question_text': ""I'm considering egg freezing because of my career. What were some things that surprised you about the process?"", 'category': 'lived_in'}, '17': {'question_text': 'Are there any financial assistance programs or insurance coverage options available to help offset the cost of egg freezing?', 'category': 'non_medical'}, '18': {'question_text': 'How can I best prepare my body and mind for the egg freezing process?', 'category': 'non_medical'}}"
2,Natural Conception,"When you decide to start building a family, there are so many questions. Start here to get the answers you need to confidently start the process.","{'1': {'question_text': 'What are the most reliable ways to track my ovulation to improve my chances of getting pregnant naturally?', 'category': 'medical'}, '2': {'question_text': 'How can I effectively track my menstrual cycle to understand my fertile window, and what are some user-friendly apps or methods for doing so?', 'category': 'non_medical'}, '3': {'question_text': ""I'm trying to conceive but feeling stressed. How much does stress *really* affect my chances, and what are some practical stress-reduction techniques that have worked for others?"", 'category': 'lived_in'}, '4': {'question_text': ""What lifestyle changes, including diet and exercise, can significantly improve my fertility and my partner's?"", 'category': 'medical'}, '5': {'question_text': 'Can you explain the different fertility awareness methods (FAMs), like the cervical mucus method and BBT, and how effective are they *really* compared to other contraceptive methods *if I wanted to use them to avoid pregnancy*?', 'category': 'non_medical'}, '6': {'question_text': ""I'm over 35 and trying to conceive. What are the specific age-related fertility challenges I should be aware of, and what tests should I ask my doctor about?"", 'category': 'medical'}, '7': {'question_text': 'How does cervical mucus change throughout my cycle, and what do these changes tell me about my fertility?  What does fertile cervical mucus *actually* look and feel like?', 'category': 'non_medical'}, '8': {'question_text': 'I have irregular periods. How can I still track my ovulation and fertile window effectively, and what underlying medical conditions could be causing the irregularity?', 'category': 'medical'}, '9': {'question_text': ""What is the 'implantation window,' how long does it last, and what can I do to support implantation once I've ovulated? Has anyone tried specific supplements or techniques that seemed to help?"", 'category': 'lived_in'}, '10': {'question_text': 'What hormonal markers (LH, FSH, estrogen, progesterone, AMH, Inhibin B) are most important to track when determining the different phases of my menstrual cycle, and what do abnormal levels indicate?', 'category': 'medical'}, '11': {'question_text': 'My partner and I are thinking about starting a family. What are some key things we should consider *financially and emotionally* before trying to conceive?', 'category': 'non_medical'}, '12': {'question_text': 'After stopping birth control pills/Depo-Provera, how long does it typically take for my cycle to regulate and for me to become fertile again?  What can I do to help speed up the process?', 'category': 'medical'}, '13': {'question_text': ""How long does sperm survive in the female reproductive tract, and how long is the egg viable after ovulation? What's the 'fertile window' and what days are most important to focus on?"", 'category': 'non_medical'}, '14': {'question_text': ""I'm overweight and trying to conceive. How significantly does my weight affect my fertility, and what is a safe and effective weight loss plan to improve my chances of getting pregnant?"", 'category': 'medical'}, '15': {'question_text': 'What are some common, yet often overlooked, lifestyle factors (beyond the obvious like smoking and alcohol) that can impact fertility in both men and women?', 'category': 'lived_in'}}"
3,Navigating Fertility Care,"It can be overwhelming when you decide to seek fertility treatment. Here, you'll learn everything you need to know about the fertility journey so you're set up for success.","{'1': {'question_text': 'What are some common reasons why women might have trouble getting pregnant?', 'category': 'medical'}, '2': {'question_text': ""I'm overwhelmed by the fertility process. Are there any resources or support groups you can recommend?"", 'category': 'non_medical'}, '3': {'question_text': 'Is it helpful to talk to my partner about infertility treatment? How should we do that?', 'category': 'lived_in'}, '4': {'question_text': ""My periods are irregular, and I'm worried about my fertility. What tests can help identify the cause?"", 'category': 'medical'}, '5': {'question_text': 'What are the risks and benefits of IVF, and how many embryos are typically transferred?', 'category': 'medical'}, '6': {'question_text': ""I feel like I'm just passively waiting during fertility treatments. How can I be more proactive and feel in control?"", 'category': 'lived_in'}, '7': {'question_text': 'What is the success rate of infertility treatments?', 'category': 'medical'}, '8': {'question_text': 'What kind of medical professional should I see for concerns about infertility or menstrual health issues?', 'category': 'non_medical'}, '9': {'question_text': ""I'm interested in intrauterine insemination. What does the procedure involve and what are the chances of success?"", 'category': 'medical'}, '10': {'question_text': 'How can I track my ovulation, and what are the signs and symptoms?', 'category': 'medical'}, '11': {'question_text': ""I'm concerned about the emotional aspects of using donor sperm or eggs. What kind of counseling services are available to help us navigate these feelings?"", 'category': 'non_medical'}, '12': {'question_text': 'What are the initial steps for infertility testing?', 'category': 'medical'}, '13': {'question_text': 'What are the treatment options if my amenorrhea is caused by PCOS or an underactive thyroid?', 'category': 'medical'}, '14': {'question_text': 'My partner and I are having trouble communicating about our fertility struggles. How can we improve communication and support each other during this process?', 'category': 'lived_in'}, '15': {'question_text': 'How do I choose a reputable clinic or doctor for fertility treatments?', 'category': 'non_medical'}, '16': {'question_text': 'What hormonal medications are typically used during an IVF cycle, and what are their effects?', 'category': 'medical'}, '17': {'question_text': ""I'm trying to get pregnant, but I'm worried about multiple pregnancies. Can you explain the risks involved with fertility drugs and what to expect?"", 'category': 'medical'}, '18': {'question_text': ""I'm considering donor sperm insemination. What are the chances of success, and what factors influence them?"", 'category': 'medical'}, '19': {'question_text': 'What are the factors to consider before deciding on IVF treatment?', 'category': 'medical'}, '20': {'question_text': ""I'm interested in learning more about ovulation. How can I track my ovulation to better understand my fertility?"", 'category': 'medical'}}"
4,Infertility Diagnosis,"It is a whirlwind when you first start seeing a fertility specialist. You have limited time with your doctors and there are so many tests. Here, you'll learn which tests you need and why so you're best prepared.","{'1': {'question_text': ""I've been trying to get pregnant for over a year. What initial fertility tests should my partner and I undergo?"", 'category': 'medical'}, '2': {'question_text': 'What are the common causes of infertility in women and men?', 'category': 'medical'}, '3': {'question_text': 'How does age affect female and male fertility?', 'category': 'medical'}, '4': {'question_text': 'What lifestyle changes can I make to improve my chances of conceiving?', 'category': 'non_medical'}, '5': {'question_text': ""What tests can determine if I'm ovulating regularly?"", 'category': 'medical'}, '6': {'question_text': 'What is the role of FSH, LH, and AMH in fertility, and what do abnormal levels indicate?', 'category': 'medical'}, '7': {'question_text': ""I've had multiple miscarriages. What tests can help determine the underlying cause?"", 'category': 'medical'}, '8': {'question_text': 'My periods are irregular. Could this be a sign of a hormone imbalance affecting fertility? What tests are available to check my hormone levels?', 'category': 'medical'}, '9': {'question_text': 'What are the different infertility treatment options available, such as IUI and IVF, and what are their success rates?', 'category': 'medical'}, '10': {'question_text': 'How much does IUI or IVF typically cost, and what financing options or insurance coverage are available?', 'category': 'non_medical'}, '11': {'question_text': ""I'm worried about the emotional toll of infertility. What support systems are available for couples going through this?"", 'category': 'non_medical'}, '12': {'question_text': ""If you've experienced infertility, what was the most helpful thing you did to cope with the emotional stress and navigate the treatment process?"", 'category': 'lived_in'}, '13': {'question_text': 'Could endometriosis be the reason I am having trouble getting pregnant? How can we check?', 'category': 'medical'}, '14': {'question_text': 'What are some less common causes of infertility that might be overlooked?', 'category': 'medical'}, '15': {'question_text': 'How does diet and exercise affect my fertility?', 'category': 'non_medical'}, '16': {'question_text': 'What are my chances of conceiving each month naturally, and how do fertility treatments affect those odds?', 'category': 'medical'}, '17': {'question_text': ""I'm trying to decide between different fertility treatments. What factors should I consider when making my decision?"", 'category': 'medical'}, '18': {'question_text': 'My partner had a vasectomy. What are the chances of it failing?', 'category': 'medical'}}"
5,IUI,"Intrauterine insemination (IUI) is a common procedure used to help sperm find an egg to fertilize. Learn what to expect before, during, and after this procedure.","{'1': {'question_text': 'What is IUI, and how does it work?', 'category': 'medical'}, '2': {'question_text': 'What are the chances of success with IUI, and what factors influence them?', 'category': 'medical'}, '3': {'question_text': 'How much does IUI typically cost, and is it covered by insurance?', 'category': 'non_medical'}, '4': {'question_text': 'What are the potential risks and side effects associated with IUI?', 'category': 'medical'}, '5': {'question_text': ""What tests are needed before starting IUI to determine if I'm a good candidate?"", 'category': 'medical'}, '6': {'question_text': 'How is sperm prepared for IUI, and what does the sperm preparation process involve?', 'category': 'medical'}, '7': {'question_text': ""What is the typical IUI procedure like from a patient's perspective?"", 'category': 'lived_in'}, '8': {'question_text': 'What is ovulation induction, and how does it work with IUI?', 'category': 'medical'}, '9': {'question_text': 'Are there any lifestyle changes I should make to improve my chances of success with IUI?', 'category': 'medical'}, '10': {'question_text': 'What happens after the IUI procedure, and what symptoms should I look out for?', 'category': 'medical'}, '11': {'question_text': 'How long should I wait after IUI to take a pregnancy test?', 'category': 'medical'}, '12': {'question_text': ""What are the alternatives to IUI if it doesn't work?"", 'category': 'medical'}, '13': {'question_text': 'My partner has some sperm issues. Would IUI still be an option for us, or are there other considerations?', 'category': 'medical'}, '14': {'question_text': 'I have endometriosis. How does that affect my chances with IUI, and are there specific protocols?', 'category': 'medical'}, '15': {'question_text': 'What support systems are available for individuals or couples undergoing IUI?', 'category': 'non_medical'}, '16': {'question_text': 'How many IUI cycles should I try before considering other fertility treatments like IVF?', 'category': 'medical'}, '17': {'question_text': 'Can you describe your emotional journey through IUI, and what coping mechanisms helped you?', 'category': 'lived_in'}, '18': {'question_text': 'Are there any age-related considerations for IUI success?', 'category': 'medical'}}"
6,IVF,In vitro fertilization (IVF) is a widely used fertility treatment. Learn what to expect from world-renowned experts and patients alike so you can approach the IVF process with the knowledge you need.,"{'1': {'question_text': 'What is IVF and how does it work?', 'category': 'medical'}, '2': {'question_text': 'What are the risks and benefits of IVF?', 'category': 'medical'}, '3': {'question_text': 'What is the typical cost of IVF, and are there financial assistance programs available?', 'category': 'non_medical'}, '4': {'question_text': 'What is the success rate of IVF, and what factors can affect it?', 'category': 'medical'}, '5': {'question_text': 'How many embryos are usually transferred during IVF, and what factors influence this decision?', 'category': 'medical'}, '6': {'question_text': 'What is ICSI, and when is it used?', 'category': 'medical'}, '7': {'question_text': ""I'm anxious about fertility treatments. What support is available for women/couples struggling with infertility?"", 'category': 'non_medical'}, '8': {'question_text': 'What are the potential side effects of ART, and how are they managed?', 'category': 'medical'}, '9': {'question_text': 'What other fertility treatment options are available if IVF is not successful?', 'category': 'medical'}, '10': {'question_text': 'What is the two-week wait after an embryo transfer like? What did you do to cope with the anxiety?', 'category': 'lived_in'}, '11': {'question_text': 'How does age affect fertility and IVF success rates?', 'category': 'medical'}, '12': {'question_text': 'What tests are performed to determine the cause of infertility before starting IVF?', 'category': 'medical'}, '13': {'question_text': 'I have endometriosis/PCOS. How does this impact my fertility and IVF treatment?', 'category': 'medical'}, '14': {'question_text': 'What are the risks of multiple pregnancies with IVF, and what steps are taken to prevent them?', 'category': 'medical'}, '15': {'question_text': 'How is ultrasound used during fertility treatment, and what does it monitor?', 'category': 'medical'}, '16': {'question_text': 'What are the different types of assisted reproductive technologies (ART) besides IVF?', 'category': 'medical'}, '17': {'question_text': ""If you're comfortable sharing, what was the most challenging aspect of going through IVF?"", 'category': 'lived_in'}}"
7,Genetic Testing,"There are a variety of genetics tests available when you want to understand the health of an embryo, Start here to learn what tests are available and how to make sense of the results.","{'1': {'question_text': 'What types of genetic tests are available to assess embryo health before implantation (e.g., PGT-A, PGT-M, PGT-SR)?', 'category': 'medical'}, '2': {'question_text': 'How do genetic testing results influence the decision of which embryos to transfer during IVF?', 'category': 'medical'}, '3': {'question_text': 'If I have a family history of a specific genetic disorder like congenital adrenal hyperplasia (CAH), what genetic testing options are available for me and my partner before conceiving?', 'category': 'medical'}, '4': {'question_text': 'What are the ethical considerations associated with preimplantation genetic testing, and how can I make an informed decision about whether or not to pursue it?', 'category': 'medical'}, '5': {'question_text': 'What are the limitations of genetic testing on embryos, and what is the possibility of false positives or false negatives?', 'category': 'medical'}, '6': {'question_text': 'Can genetic testing identify all potential health problems in an embryo, or are there limitations to what can be detected?', 'category': 'medical'}, '7': {'question_text': 'If my partner and I are both carriers for the same genetic disorder, what are the chances of our child being affected, and what genetic testing options are available to us?', 'category': 'medical'}, '8': {'question_text': 'How much does preimplantation genetic testing (PGT) typically cost, and is it covered by insurance?', 'category': 'non_medical'}, '9': {'question_text': 'Where can I find a reputable clinic that offers comprehensive genetic testing services for embryos?', 'category': 'non_medical'}, '10': {'question_text': 'What is the typical timeline for undergoing genetic testing on embryos as part of an IVF cycle?', 'category': 'non_medical'}, '11': {'question_text': ""For those who've used PGT, what support resources (therapy, support groups) helped you navigate the process and the emotional complexities?"", 'category': 'lived_in'}, '12': {'question_text': 'What kind of counseling is offered before and after genetic testing to help understand the results and their implications?', 'category': 'non_medical'}, '13': {'question_text': 'What is the process of genetic counseling and how does it help in understanding the results of genetic testing?', 'category': 'non_medical'}, '14': {'question_text': 'Are there any support groups available for couples considering or undergoing genetic testing of embryos?', 'category': 'non_medical'}, '15': {'question_text': ""If I'm considering donor sperm or eggs, what genetic screening procedures are in place for donors?"", 'category': 'medical'}}"
8,The Lab: Embryology & Andrology,Learn about the magic that happens when eggs are fertilized. You'll learn about embryo biology and what embryologists look for to ensure the most successful outcomes.,"{'1': {'question_text': 'What are Inhibin B and AMH, and how do they affect my chances of getting pregnant?', 'category': 'medical'}, '2': {'question_text': 'What are some common fertility problems and their treatments?', 'category': 'medical'}, '3': {'question_text': 'Can you explain the ICSI procedure in more detail and what to expect?', 'category': 'medical'}, '4': {'question_text': ""I'm having trouble conceiving. What are the initial steps for infertility testing?"", 'category': 'medical'}, '5': {'question_text': 'Does alcohol consumption have any impact on male fertility?', 'category': 'medical'}, '6': {'question_text': 'How does the rise in progesterone after ovulation help confirm that the fertile window has ended?', 'category': 'medical'}, '7': {'question_text': 'What is egg donation, and how does it work?', 'category': 'medical'}, '8': {'question_text': 'What are the common causes of infertility and what are the treatment options?', 'category': 'medical'}, '9': {'question_text': 'What are the differences between IUI, IVF, and ICSI?', 'category': 'medical'}, '10': {'question_text': 'What are some of the factors that affect the success of in-vitro fertilization (IVF)?', 'category': 'medical'}, '11': {'question_text': 'What are some things that can affect my chances of getting pregnant?', 'category': 'medical'}, '12': {'question_text': 'My partner has some sperm issues. Would IUI still be an option for us?', 'category': 'medical'}, '13': {'question_text': 'Can you explain ICSI to me in simple terms?', 'category': 'medical'}, '14': {'question_text': ""What's the link between zinc deficiency and fertility problems?"", 'category': 'medical'}, '15': {'question_text': 'What is the procedure and ethical considerations involved in using donor oocytes for treatment of infertility?', 'category': 'medical'}, '16': {'question_text': 'What are some common causes of infertility in women?', 'category': 'medical'}, '17': {'question_text': 'How do I choose a reputable clinic or doctor for fertility treatments?', 'category': 'non_medical'}, '18': {'question_text': 'What were some of the emotional challenges you faced during your fertility journey?', 'category': 'lived_in'}}"
9,Early Pregnancy,"The first trimester is a critical phase of pregnancy. Here, you'll find information on what to expect, how to manage common symptoms, and tips for a healthy start to your pregnancy.","{'1': {'question_text': 'What are the earliest signs of pregnancy I should be looking for, aside from a missed period?', 'category': 'medical'}, '2': {'question_text': 'How often should I schedule prenatal checkups during my first trimester?', 'category': 'medical'}, '3': {'question_text': 'What are some common challenges women face during the first trimester, and how can I manage them?', 'category': 'lived_in'}, '4': {'question_text': ""I've had a miscarriage before. What steps can I take to minimize the risk of another one in this pregnancy?"", 'category': 'medical'}, '5': {'question_text': 'What kind of prenatal care is essential for a healthy first trimester?', 'category': 'medical'}, '6': {'question_text': 'How does vaginal discharge change during early pregnancy, and when should I be concerned?', 'category': 'medical'}, '7': {'question_text': ""I'm feeling overwhelmed with anxiety about becoming a mother. What support systems are available to help me cope?"", 'category': 'non_medical'}, '8': {'question_text': 'What are the common causes of miscarriage in the first trimester?', 'category': 'medical'}, '9': {'question_text': ""I'm experiencing heavy bleeding. What steps should I take?"", 'category': 'medical'}, '10': {'question_text': 'Are there specific foods I should focus on or avoid during the first trimester to support a healthy pregnancy?', 'category': 'medical'}, '11': {'question_text': 'How can I best prepare for a hospital delivery, and what should I expect during the first trimester?', 'category': 'non_medical'}, '12': {'question_text': 'What are the risks of getting chlamydia during pregnancy?', 'category': 'medical'}, '13': {'question_text': ""I'm worried about vaginal infections during pregnancy. What are the risks?"", 'category': 'medical'}, '14': {'question_text': ""I'm worried about passing infections to my baby if I'm pregnant; what can I do?"", 'category': 'medical'}, '15': {'question_text': ""My husband isn't involved in our prenatal care. How can I get him more involved, and is there a way to make it easier for him to participate?"", 'category': 'non_medical'}}"
